,name,company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
2438,Hyundai i10 Sportz,Hyundai,2011,50000.0,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5.0,250000.0
2439,Hyundai Grand i10 Sportz,Hyundai,2016,70000.0,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1197.0,82.0,5.0,330000.0
2440,Hyundai i10 Magna,Hyundai,2009,70000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,180000.0
2441,Hyundai i20 Magna,Hyundai,2010,50000.0,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0,210000.0
2442,Maruti Swift Dzire ZDI,Maruti,2016,55000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,550000.0
2443,Tata Nexon 1.2 Revotron XZA Plus,Tata,2020,5000.0,Petrol,Individual,Automatic,First Owner,17.0,1198.0,108.5,5.0,950000.0
2444,Mahindra Bolero 2011-2019 ZLX,Mahindra,2013,100000.0,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,430000.0
2445,Hyundai i10 Sportz,Hyundai,2014,23000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,348000.0
2446,Maruti Alto 800 LX,Maruti,2014,60000.0,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,196000.0
2447,Maruti Wagon R LXI Minor,Maruti,2010,70000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,150000.0
2448,Hyundai Santro Xing XS eRLX Euro III,Hyundai,2005,82000.0,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5.0,90000.0
2449,Maruti Wagon R LXI Minor,Maruti,2009,60000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,150000.0
2450,Tata Safari Storme VX Varicor 400,Tata,2019,100000.0,Diesel,Individual,Manual,First Owner,14.1,2179.0,153.86,7.0,1250000.0
2451,Maruti Ertiga VDI,Maruti,2015,90000.0,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7.0,600000.0
2452,Tata Nano Lx BSIV,Tata,2010,26432.0,Petrol,Dealer,Manual,First Owner,25.4,624.0,37.48,4.0,65000.0
2453,Maruti Omni E 8 Str STD,Maruti,2016,46702.0,Petrol,Dealer,Manual,First Owner,16.8,796.0,34.2,8.0,220000.0
2454,Maruti Omni E 8 Str STD,Maruti,2016,46706.0,Petrol,Dealer,Manual,First Owner,16.8,796.0,34.2,8.0,220000.0
2455,Tata Indica V2 eXeta GLS,Tata,2006,53523.0,Petrol,Dealer,Manual,First Owner,16.84,1193.0,64.4,5.0,110000.0
2456,Chevrolet Beat Diesel LT,Chevrolet,2012,56365.0,Diesel,Dealer,Manual,First Owner,25.44,936.0,56.3,5.0,175000.0
2457,Chevrolet Spark 1.0 LT,Chevrolet,2011,49563.0,Petrol,Dealer,Manual,First Owner,16.2,995.0,62.1,5.0,160000.0
2458,Maruti 800 Std BSIII,Maruti,2004,56432.0,Petrol,Dealer,Manual,First Owner,16.1,796.0,37.0,4.0,65000.0
2459,Maruti 800 AC,Maruti,2002,52365.0,Petrol,Dealer,Manual,Second Owner,16.1,796.0,37.0,4.0,60000.0
2460,Maruti Alto LXi BSIII,Maruti,2007,53512.0,Petrol,Dealer,Manual,Second Owner,19.7,796.0,46.3,5.0,120000.0
2461,Hyundai Santro Xing XG,Hyundai,2005,53563.0,Petrol,Dealer,Manual,Second Owner,11.18,2696.0,184.0,7.0,110000.0
2462,Mahindra Ssangyong Rexton RX7,Mahindra,2013,40000.0,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,1000000.0
2463,Maruti Wagon R LXI BS IV,Maruti,2010,46533.0,Petrol,Dealer,Manual,First Owner,18.9,998.0,67.1,5.0,220000.0
2464,Maruti Omni E 8 Str STD,Maruti,2005,59635.0,Petrol,Dealer,Manual,Second Owner,14.0,796.0,35.0,5.0,105000.0
2465,Maruti Omni 8 Seater BSIV,Maruti,2008,58632.0,Petrol,Dealer,Manual,Second Owner,14.0,796.0,35.0,5.0,114999.0
2466,Maruti Omni LPG STD BSIV,Maruti,2008,58632.0,LPG,Dealer,Manual,Second Owner,16.0,2179.0,140.0,7.0,110000.0
2467,Mahindra XUV500 AT W6 2WD,Mahindra,2016,80000.0,Diesel,Individual,Automatic,Second Owner,16.0,2179.0,140.0,7.0,850000.0
2468,Maruti Ertiga SHVS VDI,Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,750000.0
2469,Renault KWID 1.0 RXT Optional,Renault,2017,90000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,265000.0
2470,Ford Classic 1.6 Duratec Titanium,Ford,2014,110000.0,Petrol,Individual,Manual,Second Owner,14.09,1596.0,99.6,5.0,450000.0
2471,Mahindra Quanto C6,Mahindra,2013,90000.0,Diesel,Individual,Manual,First Owner,17.21,1493.0,100.0,7.0,225000.0
2472,Mahindra Scorpio S10 7 Seater,Mahindra,2015,70000.0,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7.0,1125000.0
2473,Maruti Swift VXI with ABS,Maruti,2009,80000.0,Petrol,Individual,Manual,First Owner,16.6,1197.0,85.0,5.0,270000.0
2474,Maruti Alto LX,Maruti,2007,78000.0,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,130000.0
2475,Mahindra Bolero Power Plus SLE,Mahindra,2017,45000.0,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,660000.0
2476,Maruti Alto K10 VXI,Maruti,2015,50000.0,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,5.0,240000.0
2477,Maruti Alto 800 LXI,Maruti,2017,58000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,275000.0
2478,Toyota Innova 2.5 VX 8 STR BSIV,Toyota,2012,120000.0,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,750000.0
2479,Chevrolet Aveo U-VA 1.2,Chevrolet,2007,30000.0,Petrol,Individual,Manual,Second Owner,14.7,1150.0,76.0,5.0,65000.0
2480,Tata Safari Storme EX,Tata,2017,162000.0,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7.0,850000.0
2481,Maruti Wagon R LXI CNG,Maruti,2016,50000.0,CNG,Individual,Manual,Second Owner,26.6,998.0,58.16,5.0,300000.0
2482,Hyundai i20 1.2 Magna Executive,Hyundai,2018,25000.0,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,555000.0
2483,Mahindra Scorpio 1.99 S6 Plus,Mahindra,2015,60000.0,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7.0,825000.0
2484,Hyundai Santro Xing GLS LPG,Hyundai,2010,70000.0,LPG,Individual,Manual,Third Owner,13.45,1086.0,62.1,5.0,150000.0
2485,Maruti Swift Dzire VDi,Maruti,2009,138000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,185000.0
2486,Hyundai i10 Magna,Hyundai,2010,70000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,180000.0
2487,Maruti Alto LXi,Maruti,2010,48000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,160000.0
2488,Ford Endeavour 3.0L 4X2 AT,Ford,2012,110000.0,Diesel,Individual,Automatic,First Owner,11.4,2953.0,153.86,7.0,500000.0
2489,Maruti Swift VDI BSIV,Maruti,2014,88000.0,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,5.0,375000.0
2490,Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,2015,68000.0,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,900000.0
2491,Hyundai Grand i10 Sportz,Hyundai,2017,70000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,459999.0
2492,Renault Duster 85PS Diesel RxL,Renault,2014,80000.0,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,480000.0
2493,Maruti Swift VDI,Maruti,2013,100000.0,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,320000.0
2494,Maruti Swift VDI,Maruti,2013,96000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,370000.0
2495,Hyundai Santro Xing Base,Hyundai,2005,123219.0,Petrol,Individual,Manual,Third Owner,17.3,993.0,60.0,5.0,80000.0
2496,Maruti Zen LX,Maruti,2002,30000.0,Petrol,Individual,Manual,Third Owner,17.3,993.0,60.0,5.0,75000.0
2497,Maruti Ritz LDi,Maruti,2016,60000.0,Diesel,Individual,Manual,Third Owner,23.2,1248.0,73.94,5.0,400000.0
2498,Honda City 1.5 GXI CVT,Honda,2005,90000.0,Petrol,Individual,Automatic,Second Owner,25.2,1248.0,74.0,5.0,250000.0
2499,Maruti Swift VDI BSIV,Maruti,2014,65000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,425000.0
2500,Maruti Celerio ZXI,Maruti,2014,48000.0,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,325000.0
2501,Hyundai Grand i10 Magna,Hyundai,2016,65300.0,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,350000.0
2502,Hyundai i20 1.2 Asta Dual Tone,Hyundai,2018,40000.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,600000.0
2503,Chevrolet Beat Diesel,Chevrolet,2012,60000.0,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,5.0,120000.0
2504,Maruti Alto K10 2010-2014 VXI,Maruti,2012,70000.0,Petrol,Individual,Manual,Second Owner,20.92,998.0,67.1,5.0,200000.0
2505,Maruti Alto LXi BSIII,Maruti,2008,70000.0,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0,100000.0
2506,Hyundai Grand i10 CRDi Asta,Hyundai,2014,70000.0,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0,350000.0
2507,Maruti Alto LXi,Maruti,2006,150000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,85000.0
2508,Maruti Alto K10 VXI Optional,Maruti,2019,10000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,399000.0
2509,Hyundai Verna 1.6 CRDI,Hyundai,2014,56000.0,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.3,5.0,580000.0
2510,Datsun RediGO T Option,Datsun,2017,30000.0,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,290000.0
2511,Hyundai Grand i10 Magna,Hyundai,2014,50000.0,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,380000.0
2512,Ford Figo Diesel EXI,Ford,2010,120000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,200000.0
2513,Maruti Wagon R LXI CNG,Maruti,2018,40000.0,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,390000.0
2514,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2017,27500.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,500000.0
2515,Maruti Ertiga VDI,Maruti,2012,73000.0,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,520000.0
2516,Maruti Swift Dzire VDI,Maruti,2017,75000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,650000.0
2517,Renault KWID Climber 1.0 MT,Renault,2018,5000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,380000.0
2518,Maruti Wagon R LXI LPG BSIV,Maruti,2010,50000.0,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,275000.0
2519,Maruti Swift Dzire VDI,Maruti,2015,70000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,520000.0
2520,Maruti Swift Dzire VDI,Maruti,2015,60000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,610000.0
2521,Maruti Wagon R LXI,Maruti,2004,110000.0,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,85000.0
2522,Renault Duster 85PS Diesel RxL Optional,Renault,2013,95000.0,Diesel,Individual,Manual,First Owner,20.46,1461.0,83.8,5.0,490000.0
2523,Hyundai EON Era Plus,Hyundai,2015,34000.0,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,229999.0
2524,Hyundai Grand i10 Sportz,Hyundai,2015,25000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,411000.0
2525,Maruti Eeco CNG 5 Seater AC BSIV,Maruti,2019,120000.0,CNG,Individual,Manual,Second Owner,21.94,1196.0,61.7,5.0,362000.0
2526,Toyota Etios Cross 1.4L GD,Toyota,2014,31000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,5.0,550000.0
2527,Maruti Wagon R LXI CNG,Maruti,2018,70000.0,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,459999.0
2528,Maruti Ritz VXi (ABS) BS IV,Maruti,2011,47000.0,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0,190000.0
2529,Hyundai Santro Magna AMT BSIV,Hyundai,2019,5000.0,Petrol,Individual,Automatic,First Owner,20.3,1086.0,68.0,5.0,499000.0
2530,Maruti Eeco 7 Seater Standard BSIV,Maruti,2018,44000.0,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,7.0,358000.0
2531,Toyota Etios Diesel TRD Sportivo,Toyota,2012,120000.0,Diesel,Individual,Manual,Second Owner,23.59,1364.0,67.1,5.0,278000.0
2532,Fiat Grande Punto EVO 1.3 Active,Fiat,2014,39395.0,Diesel,Individual,Manual,First Owner,21.2,1248.0,75.0,5.0,320000.0
2533,Renault Fluence 1.5,Renault,2013,67000.0,Diesel,Individual,Manual,Second Owner,20.4,1461.0,108.5,5.0,580000.0
2534,Honda City VX CVT,Honda,2019,20000.0,Petrol,Individual,Automatic,First Owner,17.4,1497.0,117.6,5.0,1300000.0
2535,Honda Amaze VX i-DTEC,Honda,2018,40000.0,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,825000.0
2536,Toyota Corolla AE,Toyota,2004,120000.0,Petrol,Individual,Manual,Second Owner,13.4,1794.0,125.0,5.0,170000.0
2537,Toyota Fortuner 4x4 MT,Toyota,2014,80000.0,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,1700000.0
2538,Hyundai Santro Sportz BSIV,Hyundai,2018,7000.0,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,5.0,490000.0
2539,Mahindra XUV500 W4,Mahindra,2018,15000.0,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,1050000.0
2540,Chevrolet Beat LT,Chevrolet,2016,50000.0,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,210000.0
2541,Mahindra Scorpio Intelli Hybrid S10,Mahindra,2016,30000.0,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7.0,1250000.0
2542,Maruti Swift VDI,Maruti,2012,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,320000.0
2543,Chevrolet Optra Magnum 2.0 LT,Chevrolet,2012,64000.0,Diesel,Individual,Manual,First Owner,16.52,1991.0,123.7,5.0,400000.0
2544,Maruti Ritz VDi,Maruti,2013,120000.0,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,320000.0
2545,Toyota Corolla Altis Diesel D4DG,Toyota,2012,85000.0,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,600000.0
2546,Maruti Alto K10 2010-2014 VXI,Maruti,2012,50000.0,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,275000.0
2547,Maruti Alto LXi,Maruti,2009,59000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,170000.0
2548,Chevrolet Beat Diesel LT,Chevrolet,2012,98000.0,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,5.0,155000.0
2549,Tata Indica Vista Quadrajet LS,Tata,2012,70000.0,Diesel,Individual,Manual,First Owner,20.45,1461.0,0.0,5.0,240000.0
2550,Tata Indica Vista Quadrajet LS,Tata,2012,70000.0,Diesel,Individual,Manual,First Owner,20.45,1461.0,0.0,5.0,240000.0
2551,Maruti Swift VDI BSIV,Maruti,2011,120000.0,Diesel,Individual,Manual,Second Owner,20.45,1461.0,83.8,5.0,320000.0
2552,Renault Duster 85PS Diesel RxL Plus,Renault,2015,140000.0,Diesel,Individual,Manual,Second Owner,20.45,1461.0,83.8,5.0,620000.0
2553,Hyundai Grand i10 1.2 Kappa Sportz Option,Hyundai,2017,50000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,530000.0
2554,Toyota Etios Liva VD,Toyota,2015,40000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.04,5.0,550000.0
2555,Honda City i DTEC SV,Honda,2014,90000.0,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,600000.0
2556,Mahindra XUV500 W4,Mahindra,2014,117000.0,Diesel,Individual,Manual,Third Owner,15.1,2179.0,140.0,7.0,649000.0
2557,Honda City i DTEC SV,Honda,2014,90000.0,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,625000.0
2558,Chevrolet Spark 1.0 PS,Chevrolet,2010,70000.0,Petrol,Individual,Manual,First Owner,16.0,995.0,63.0,5.0,125000.0
2559,Chevrolet Tavera Neo 3 LS 9 Str BSIII,Chevrolet,2009,230000.0,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,305000.0
2560,Maruti SX4 ZXI MT BSIV Leather,Maruti,2010,155000.0,Petrol,Individual,Manual,Second Owner,15.5,1586.0,103.3,5.0,285000.0
2561,Tata Xenon XT EX 4X4,Tata,2015,60000.0,Diesel,Individual,Manual,Second Owner,13.49,2179.0,138.03,5.0,600000.0
2562,Mahindra KUV 100 mFALCON G80 K8,Mahindra,2016,110000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,6.0,426000.0
2563,Tata Indica Vista Terra 1.4 TDI,Tata,2010,120000.0,Diesel,Individual,Manual,First Owner,17.0,1405.0,71.0,5.0,180000.0
2564,Hyundai Verna 1.6 VGT CRDi,Hyundai,2011,100000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,400000.0
2565,Chevrolet Beat LS,Chevrolet,2010,40000.0,Petrol,Individual,Manual,Second Owner,18.6,1199.0,79.4,5.0,120000.0
2566,Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2012,110000.0,Diesel,Individual,Manual,Second Owner,21.12,1248.0,88.8,5.0,300000.0
2567,Maruti Alto K10 2010-2014 VXI,Maruti,2011,92500.0,Petrol,Individual,Manual,Second Owner,20.92,998.0,67.1,5.0,190000.0
2568,Maruti Alto 800 LXI,Maruti,2017,20000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,310000.0
2569,Renault KWID RXL,Renault,2019,15000.0,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,380000.0
2570,Mahindra Bolero Power Plus ZLX,Mahindra,2019,14000.0,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,740000.0
2571,Datsun RediGO T Option,Datsun,2016,35000.0,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,260000.0
2572,Maruti Alto K10 VXI,Maruti,2017,32000.0,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,5.0,320000.0
2573,Maruti Wagon R LXI CNG,Maruti,2013,90000.0,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,211000.0
2574,Maruti Swift Dzire VXI 1.2 BS IV,Maruti,2018,35000.0,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0,650000.0
2575,Maruti Swift Dzire VDI,Maruti,2017,32500.0,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.02,5.0,651000.0
2576,Maruti Alto K10 VXI AGS,Maruti,2019,14000.0,Petrol,Individual,Automatic,First Owner,23.95,998.0,67.05,5.0,380000.0
2577,Chevrolet Beat Diesel LT,Chevrolet,2014,70000.0,Diesel,Individual,Manual,Third Owner,25.44,936.0,56.3,5.0,160000.0
2578,Hyundai Verna VTVT 1.6 AT SX Option,Hyundai,2019,20000.0,Petrol,Individual,Automatic,First Owner,17.0,1591.0,121.3,5.0,1270000.0
2579,Maruti Wagon R Duo Lxi,Maruti,2011,300000.0,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,300000.0
2580,Maruti Swift VDI Optional,Maruti,2015,100000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,405000.0
2581,Mahindra XUV500 W8 2WD,Mahindra,2015,64800.0,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,850000.0
2582,Mahindra Bolero Power Plus ZLX,Mahindra,2017,90000.0,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,680000.0
2583,Hyundai Xcent 1.2 Kappa SX Option,Hyundai,2014,80000.0,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5.0,426999.0
2584,Hyundai Verna 1.4 CRDi,Hyundai,2015,248000.0,Diesel,Individual,Manual,First Owner,24.8,1396.0,88.7,5.0,525000.0
2585,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,2014,60000.0,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,7.0,1019999.0
2586,Toyota Innova 2.5 G2,Toyota,2005,120000.0,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,245000.0
2587,Hyundai Elantra CRDi SX,Hyundai,2015,120000.0,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5.0,869999.0
2588,Maruti Wagon R Duo Lxi,Maruti,2010,66444.0,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,160000.0
2589,Maruti Vitara Brezza VDi Option,Maruti,2016,86000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,700000.0
2590,Nissan Sunny Diesel XV,Nissan,2012,90000.0,Diesel,Individual,Manual,First Owner,21.64,1461.0,84.8,5.0,300000.0
2591,Honda Civic 1.8 S AT,Honda,2007,218463.0,Petrol,Individual,Automatic,First Owner,12.9,1799.0,130.0,5.0,175000.0
2592,Toyota Innova 2.5 VX 8 STR,Toyota,2012,153000.0,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,960000.0
2593,Mahindra Thar CRDe AC,Mahindra,2014,70000.0,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,525000.0
2594,Hyundai Grand i10 CRDi Sportz,Hyundai,2015,60000.0,Diesel,Individual,Manual,First Owner,24.0,1120.0,70.0,5.0,345000.0
2595,Honda Amaze S i-Vtech,Honda,2015,50000.0,Petrol,Individual,Manual,First Owner,18.0,1198.0,86.7,5.0,390000.0
2596,Datsun GO T Option BSIV,Datsun,2015,20000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,275000.0
2597,Chevrolet Sail 1.2 LS ABS,Chevrolet,2014,35000.0,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,310000.0
2598,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Hyundai,2017,20000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,500000.0
2599,Chevrolet Sail Hatchback LT ABS,Chevrolet,2013,70000.0,Diesel,Individual,Manual,First Owner,22.1,1248.0,76.9,5.0,200000.0
2600,Volkswagen Polo 2015-2019 1.5 TDI Highline Plus,Volkswagen,2018,53000.0,Diesel,Individual,Manual,First Owner,20.14,1498.0,88.0,5.0,650000.0
2601,Honda City i-DTEC VX,Honda,2018,60000.0,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0,1031000.0
2602,Hyundai EON 1.0 Era Plus,Hyundai,2018,70000.0,Petrol,Individual,Manual,First Owner,20.3,998.0,68.05,5.0,330000.0
2603,Hyundai Santro Era,Hyundai,2019,4000.0,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,5.0,399000.0
2604,Hyundai i10 Magna,Hyundai,2012,103000.0,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5.0,250000.0
2605,Hyundai Grand i10 1.2 CRDi Sportz Option,Hyundai,2017,20000.0,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,600000.0
2606,Maruti Swift VDI,Maruti,2013,77000.0,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,375000.0
2607,Volkswagen Vento Diesel Highline,Volkswagen,2012,90000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,375000.0
2608,Hyundai Verna 1.6 CRDi EX MT,Hyundai,2013,87185.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.3,5.0,445000.0
2609,Maruti Wagon R LXI,Maruti,2003,167000.0,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,55000.0
2610,Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,2016,77000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,611000.0
2611,Hyundai Verna 1.4 CRDi,Hyundai,2014,110000.0,Diesel,Individual,Manual,Second Owner,24.8,1396.0,88.7,5.0,459999.0
2612,Ford Fiesta EXi 1.4 TDCi Ltd,Ford,2011,120000.0,Diesel,Individual,Manual,Second Owner,17.8,1399.0,68.0,5.0,275000.0
2613,Hyundai Santro Xing GLS CNG,Hyundai,2011,170000.0,CNG,Individual,Manual,First Owner,11.88,1086.0,62.1,5.0,185000.0
2614,Hyundai Verna 1.6 SX,Hyundai,2012,100000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,390000.0
2615,Chevrolet Spark 1.0 LT,Chevrolet,2007,40000.0,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0,72000.0
2616,Tata Indica V2 DL BSIII,Tata,2007,50000.0,Diesel,Individual,Manual,First Owner,17.88,1396.0,52.8,5.0,90000.0
2617,Toyota Etios GD,Toyota,2015,125000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.05,5.0,500000.0
2618,Maruti Wagon R LXI CNG,Maruti,2011,137000.0,CNG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,200000.0
2619,Mahindra XUV500 W9 BSIV,Mahindra,2019,18000.0,Diesel,Individual,Manual,First Owner,15.1,2179.0,152.87,7.0,1575000.0
2620,Hyundai Grand i10 Sportz,Hyundai,2015,30000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,511000.0
2621,Fiat Grande Punto 1.4 Emotion,Fiat,2009,55000.0,Petrol,Individual,Manual,First Owner,14.6,1368.0,88.7,5.0,150000.0
2622,Toyota Innova Crysta 2.7 GX AT 8 STR,Toyota,2020,40000.0,Petrol,Individual,Automatic,First Owner,10.75,2694.0,163.7,8.0,1500000.0
2623,Maruti Alto 800 LXI,Maruti,2013,80000.0,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,185000.0
2624,Maruti Baleno Delta 1.2,Maruti,2018,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,550000.0
2625,Maruti Alto K10 VXI,Maruti,2017,3564.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,325000.0
2626,Maruti Swift Dzire VDI Optional,Maruti,2015,80000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,525000.0
